ID,COMMUNITY.AREA.NAME,BUILDING_SUBTYPE,TOTAL.KWH,THERMS.TOTAL.SQFT,KWH.MEAN.2010,THERM.MEAN.2010,THERMS.SQFT.MEAN.2010,Age_Group
10029,Montclare,Multi < 7,8131,2110,4065.5,1215.5,1055,Middle3
10045,Montclare,Single Family,41674,8061,5953.43,1113.25,1007.63,Middle3
10046,Montclare,Single Family,144476,20759,8026.44,1233.89,1153.28,Middle2
10047,Montclare,Single Family,140618,19276,8271.65,1286.69,1204.75,Middle3
10054,Montclare,Single Family,73173,12869,8130.33,1195.09,1169.91,Middle2
10066,Montclare,Single Family,77501,9455,9687.63,1263.88,1181.88,Middle3
10074,Montclare,Single Family,174785,17985,11652.33,1252.31,1124.06,Middle2
10077,Montclare,Single Family,103493,14079,8624.42,1361.75,1173.25,Middle3
10094,Montclare,Single Family,90705,11302,10078.33,1671.22,1255.78,Middle3
10100,Morgan Park,Single Family,70529,10154,8816.13,1296.22,1128.22,Middle2
10102,Morgan Park,Single Family,181241,25044,9539,1398.5,1252.2,Middle2
10105,Morgan Park,Single Family,61819,7560,10303.17,1351.17,1260,Middle2
10110,Morgan Park,Single Family,128388,16332,9170.57,1318.57,1166.57,Middle1
10115,Morgan Park,Single Family,128533,13288,11684.82,1613.55,1208,Middle2
10136,Morgan Park,Commercial,16247,2586,8123.5,2053.5,1293,Newer
10139,Morgan Park,Single Family,67625,9997,8453.13,1456.56,1110.78,Middle2
10152,Morgan Park,Single Family,141139,15712,10081.36,1914.69,1208.62,Middle3
10157,Morgan Park,Commercial,27881,2248,13940.5,1577,1124,Ancient
10168,Morgan Park,Single Family,95750,12886,8704.55,1136.55,1171.45,Middle2
10170,Morgan Park,Single Family,123019,13852,11183.55,1261.45,1259.27,Middle2
10181,Morgan Park,Single Family,177482,21344,10440.12,1243.69,1334,Middle2
10185,Morgan Park,Single Family,149626,20387,9351.63,1282.88,1274.19,Middle2
10187,Morgan Park,Single Family,134576,18248,8411,1108.87,1216.53,Middle2
10192,Morgan Park,Single Family,92240,11797,10248.89,1029.89,1310.78,Middle1
10193,Morgan Park,Single Family,192521,24456,9626.05,1255.76,1164.57,Middle2
10203,Morgan Park,Single Family,120185,19090,8012.33,1168.44,1193.13,Middle2
10215,Morgan Park,Single Family,77089,15202,7008.09,1053.46,1169.38,Middle2
10223,Morgan Park,Single Family,49626,6750,8271,1359.33,1125,Middle2
10229,Morgan Park,Single Family,134685,17697,8979,1301.43,1264.07,Middle2
10237,Morgan Park,Single Family,185579,23319,9278.95,1215.75,1165.95,Middle2
10249,Morgan Park,Single Family,89176,10483,8106.91,1147.89,1164.78,Middle2
10255,Morgan Park,Single Family,43802,5912,8760.4,1414,1182.4,Middle3
10264,Morgan Park,Single Family,23886,6628,5971.5,1253.83,1104.67,Middle2
10269,Morgan Park,Single Family,105283,14038,9571.18,1262.77,1079.85,Middle1
10275,Morgan Park,Single Family,90009,7873,11251.13,1337,984.13,Middle1
10280,Morgan Park,Single Family,26553,3960,13276.5,1233,1320,Middle1
10292,Morgan Park,Single Family,131585,17444,9398.93,1451.53,1162.93,Middle2
10301,Morgan Park,Single Family,151760,17624,9485,1395.33,1174.93,Middle2
10302,Morgan Park,Single Family,105994,10582,10599.4,1590.78,1175.78,Middle2
10305,Morgan Park,Single Family,66526,7355,9503.71,1886,1225.83,Middle2
10306,Morgan Park,Single Family,105771,13642,9615.55,1512.36,1240.18,Middle2
10309,Morgan Park,Single Family,153638,17091,10242.53,1430.88,1068.19,Middle1
10322,Morgan Park,Single Family,125776,12972,8984,1651.67,1081,Middle2
10324,Morgan Park,Single Family,114604,15938,7640.27,1464.67,1062.53,Middle1
10337,Morgan Park,Single Family,119988,13180,9229.85,1477.77,1013.85,Middle2
10341,Morgan Park,Single Family,59538,9036,5412.55,1094,1004,Newer
10343,Morgan Park,Single Family,64792,14343,6479.2,1495.36,1303.91,Middle2
10344,Morgan Park,Single Family,83757,14061,8375.7,1647,1278.27,Middle3
10356,Morgan Park,Single Family,103218,17850,7939.85,1581.2,1190,Middle2
10364,Morgan Park,Single Family,85827,13002,8582.7,1279.5,1300.2,Middle2
10366,Morgan Park,Single Family,89859,11224,9984.33,1558.09,1020.36,Middle2
10375,Morgan Park,Single Family,104687,14227,9517,1958.67,1185.58,Middle2
10376,Morgan Park,Single Family,59949,10275,8564.14,1487.63,1284.38,Middle2
10379,Morgan Park,Single Family,17681,2971,5893.67,1376.67,990.33,Middle2
10381,Morgan Park,Single Family,62297,11134,7787.13,1406.9,1113.4,Middle2
10390,Morgan Park,Single Family,113511,19286,8107.93,1457.59,1134.47,Middle2
10391,Morgan Park,Single Family,105775,13666,8814.58,1079.85,1051.23,Middle1
10392,Morgan Park,Single Family,104331,15700,9484.64,1421.14,1121.43,Middle1
10393,Morgan Park,Single Family,94059,7782,13437,1684.83,1297,Middle1
