ID,COMMUNITY.AREA.NAME,BUILDING_SUBTYPE,TOTAL.KWH,THERMS.TOTAL.SQFT,KWH.MEAN.2010,THERM.MEAN.2010,THERMS.SQFT.MEAN.2010,Age_Group
3,Forest Glen,Single Family,59821,7728,8545.86,1478.71,1104,Middle2
4,Albany Park,Single Family,79663,10840,9957.88,1642.22,1204.44,Middle3
11,West Pullman,Single Family,37984,5724,9496,1123,1144.8,Middle3
20,Albany Park,Single Family,51150,3726,12787.5,1421.75,1242,Middle3
23,Albany Park,Single Family,62994,7663,8999.14,1517.14,1094.71,Middle3
33,Albany Park,Single Family,69286,7711,11547.67,1651,1285.17,Middle3
39,Albany Park,Single Family,7676,3386,2558.67,1256,1128.67,Ancient
41,Albany Park,Single Family,36171,6176,7234.2,1802,1235.2,Middle2
42,Albany Park,Single Family,120511,21749,7088.88,1373.18,1279.35,Middle3
52,Albany Park,Single Family,96791,18622,6452.73,1169,1241.47,Middle3
54,Albany Park,Single Family,150078,19607,9379.88,1321.18,1153.35,Middle2
55,Albany Park,Single Family,43938,7265,7323,1295,1210.83,Middle3
72,Albany Park,Single Family,196872,26544,11580.71,1416.95,1397.05,Middle3
74,Albany Park,Single Family,177646,24229,9349.79,1425,1211.45,Middle3
80,Albany Park,Single Family,161216,19455,9483.29,1548.38,1215.94,Middle3
90,Albany Park,Single Family,93112,15625,8464.73,1623.08,1302.08,Middle3
98,Albany Park,Single Family,117171,16987,8369.36,1157.87,1132.47,Middle2
104,Albany Park,Single Family,176316,20220,9795.33,1552.94,1123.33,Middle3
105,Albany Park,Single Family,148860,22046,8756.47,1633.72,1224.78,Middle3
111,Albany Park,Single Family,155804,15683,9737.75,1166.36,1120.21,Middle1
112,Albany Park,Single Family,90825,14064,7568.75,1126.83,1172,Middle2
115,Albany Park,Commercial,28999,3536,9666.33,912.33,1178.67,Middle3
117,Albany Park,Single Family,91598,14953,8327.09,1450.08,1246.08,Middle3
122,Albany Park,Single Family,18972,2600,9486,1535,1300,Middle2
134,Albany Park,Single Family,92449,12398,8404.45,1161,1127.09,Middle3
136,Albany Park,Single Family,119944,18231,9226.46,1350.07,1302.21,Middle3
140,Albany Park,Single Family,89647,11633,8964.7,1259,1163.3,Middle3
141,Albany Park,Single Family,35509,3561,11836.33,1231.33,1187,Ancient
144,Albany Park,Single Family,134826,15143,7930.94,1216.06,946.44,Middle3
145,Albany Park,Single Family,70882,13469,5906.83,1126.18,1224.45,Middle2
150,Albany Park,Single Family,104728,16295,8727.33,1230.31,1253.46,Middle3
154,Albany Park,Single Family,121883,21156,8125.53,1494.17,1175.33,Middle3
158,Albany Park,Single Family,126740,11681,11521.82,1338.4,1168.1,Middle3
160,Albany Park,Single Family,95958,12414,8723.45,1336,1128.55,Middle3
170,Albany Park,Single Family,108583,13978,9871.18,1274.58,1164.83,Middle2
172,Albany Park,Single Family,47576,5453,9515.2,1194.4,1090.6,Middle3
174,Albany Park,Single Family,87744,8500,12534.86,1094.71,1214.29,Middle3
176,Albany Park,Single Family,77867,9998,8651.89,1149.22,1110.89,Middle3
179,Albany Park,Single Family,66778,12194,8347.25,1260.2,1219.4,Middle3
190,Albany Park,Single Family,24812,3356,6203,1343.33,1118.67,Middle3
191,Albany Park,Single Family,75034,9212,10719.14,1325.86,1316,Middle3
198,Albany Park,Single Family,63517,6652,10586.17,1467.17,1330.4,Middle3
210,Albany Park,Single Family,14939,4256,4979.67,1277.33,1418.67,Middle3
220,Albany Park,Single Family,52763,9735,6595.38,1096.5,1216.88,Middle3
234,Archer Heights,Single Family,119952,21666,7497,1482,1203.67,Middle2
236,Archer Heights,Single Family,75325,11052,8369.44,1191.3,1105.2,Middle3
237,Archer Heights,Single Family,101188,15889,7227.71,1000.13,1059.27,Middle2
238,Archer Heights,Single Family,107289,18934,6311.12,971.75,1183.38,Middle2
246,Archer Heights,Single Family,93034,13010,10337.11,1411.6,1301,Middle1
247,Archer Heights,Single Family,117897,22360,6205.11,1134.95,1176.84,Middle1
249,Archer Heights,Single Family,129220,19418,8076.25,1224.58,1022,Middle2
251,Archer Heights,Single Family,145991,21627,9124.44,1054.38,1351.69,Middle1
255,Archer Heights,Single Family,104117,19528,8009,1411.07,1394.86,Middle2
267,Archer Heights,Single Family,72799,10711,8088.78,1280.44,1190.11,Middle3
271,Archer Heights,Single Family,93120,14529,10346.67,1155.69,1117.62,Middle2
273,Archer Heights,Single Family,23933,2459,11966.5,963.5,1229.5,Middle1
277,Archer Heights,Single Family,80798,12642,8079.8,1561.6,1264.2,Middle3
285,Archer Heights,Single Family,118521,15315,10774.64,1434.62,1178.08,Middle3
287,Archer Heights,Single Family,118143,19404,7876.2,1443.73,1293.6,Middle3
289,Archer Heights,Single Family,129595,17548,9256.79,1457.21,1253.43,Middle3
292,Archer Heights,Single Family,56242,5860,11248.4,1494.6,1172,Middle2
294,Archer Heights,Single Family,14785,2921,4928.33,1178.67,973.67,Middle2
295,Archer Heights,Commercial,52811,3276,17603.67,970.67,1092,Middle2
296,Archer Heights,Single Family,9829,2500,4914.5,1612,1250,Middle3
302,Archer Heights,Single Family,32567,8022,4652.43,1073.71,1146,Middle2
303,Archer Heights,Single Family,93059,20408,6203.93,1263.47,1200.47,Middle2
307,Archer Heights,Single Family,44599,7105,7433.17,994.33,1184.17,Middle2
308,Archer Heights,Single Family,100629,13791,10062.9,1353.42,1149.25,Middle3
309,Archer Heights,Single Family,134109,13020,11175.75,1548.5,1085,Middle3
311,Archer Heights,Single Family,124451,16583,9573.15,1377.5,1184.5,Middle2
312,Archer Heights,Single Family,175589,21457,8779.45,1213.3,1072.85,Middle2
314,Archer Heights,Single Family,117689,16894,7355.56,1011.44,1055.88,Middle2
321,Archer Heights,Single Family,94806,18125,8618.73,1490.43,1294.64,Middle2
325,Archer Heights,Single Family,70564,13535,7056.4,990,1230.45,Middle2
329,Archer Heights,Single Family,115477,19895,7217.31,1558,1243.44,Middle2
334,Archer Heights,Single Family,190967,16908,13640.5,1988.29,1207.71,Middle3
335,Archer Heights,Single Family,156793,2544,78396.5,1490,1272,Middle3
352,Archer Heights,Single Family,112127,14718,10193.36,1397.92,1226.5,Middle3
361,Archer Heights,Single Family,76488,9174,8498.67,927.56,1019.33,Middle2
366,Archer Heights,Single Family,117245,16178,9770.42,1292.33,1348.17,Middle2
369,Archer Heights,Multi < 7,24978,2222,12489,1685,1111,Middle3
370,Archer Heights,Single Family,87526,16003,6251.86,1043.2,1066.87,Middle2
371,Archer Heights,Single Family,88034,11778,8003.09,1036.45,1070.73,Middle2
373,Archer Heights,Single Family,114882,13079,9573.5,1285,1089.92,Middle2
400,Ashburn,Single Family,109086,15832,8391.23,1100.86,1130.86,Middle2
403,Ashburn,Single Family,128027,17885,8001.69,1069.44,1117.81,Middle2
404,Ashburn,Single Family,180160,18646,11260,1346.59,1096.82,Middle2
421,Ashburn,Single Family,26252,6392,6563,1207.8,1278.4,Newer
424,Ashburn,Single Family,86352,12523,7850.18,1433.91,1138.45,Middle2
427,Ashburn,Single Family,50412,8945,6301.5,931.75,1118.13,Middle1
428,Ashburn,Single Family,76383,8110,10911.86,1186.86,1158.57,Middle2
436,Ashburn,Single Family,124548,16735,8896.29,1267.27,1115.67,Middle2
441,Ashburn,Single Family,71022,10349,11837,1303.67,1149.89,Middle1
444,Ashburn,Single Family,171672,27444,7153,1057.93,1016.44,Middle1
451,Ashburn,Single Family,131773,16553,9412.36,1219.14,1182.36,Newer
457,Ashburn,Single Family,65740,11601,8217.5,1130.7,1160.1,Middle2
458,Ashburn,Single Family,173070,26875,7211.25,1099.96,1075,Middle1
463,Ashburn,Single Family,140199,12276,11683.25,1206.45,1116,Middle2
464,Ashburn,Single Family,194814,25794,7492.85,1205.17,1121.48,Middle2
468,Ashburn,Single Family,45483,8256,6497.57,1065.43,1179.43,Middle2
469,Ashburn,Single Family,57145,9716,7143.13,1050.63,1214.5,Middle2
471,Ashburn,Single Family,56750,9742,7093.75,1213.13,1217.75,Middle1
479,Ashburn,Single Family,91480,15259,6098.67,998.07,1017.27,Middle2
492,Ashburn,Single Family,130948,18859,8729.87,1195.73,1257.27,Middle1
494,Ashburn,Single Family,165607,18504,9741.59,1086.25,1156.5,Middle2
505,Ashburn,Single Family,81086,14198,6757.17,1155.75,1183.17,Middle2
508,Ashburn,Single Family,100647,13428,9149.73,1109.45,1220.73,Middle1
511,Ashburn,Single Family,101379,14796,10137.9,1402.36,1345.09,Middle1
512,Ashburn,Single Family,102569,13478,10256.9,1092.18,1225.27,Middle2
513,Ashburn,Single Family,67765,9564,8470.63,1159.63,1195.5,Middle2
515,Ashburn,Single Family,25002,3848,8334,1347.67,1282.67,Middle1
521,Ashburn,Single Family,129934,17202,9281,1166.64,1228.71,Middle2
530,Ashburn,Single Family,83970,15885,5997.86,967.71,1134.64,Middle2
535,Ashburn,Single Family,110743,21178,6921.44,1020.72,1176.56,Middle2
537,Ashburn,Single Family,157252,26259,7488.19,1209,1094.13,Middle2
538,Ashburn,Single Family,149394,24103,7114,1027.67,1147.76,Middle2
540,Ashburn,Single Family,122905,17630,8193.67,1202.33,1175.33,Middle1
541,Ashburn,Single Family,115203,17352,7680.2,1124.4,1156.8,Middle2
543,Ashburn,Single Family,27683,4922,6920.75,1264.5,1230.5,Middle1
552,Ashburn,Single Family,20733,5526,3455.5,1195.2,1105.2,Middle2
555,Ashburn,Single Family,114856,19495,8204,1164.47,1299.67,Middle1
565,Ashburn,Single Family,118642,19205,8474.43,1362.64,1371.79,Middle1
566,Ashburn,Single Family,48367,7765,8061.17,1143.5,1294.17,Middle1
572,Ashburn,Single Family,114153,19233,8781,1247.53,1282.2,Middle2
573,Ashburn,Single Family,123850,18747,8846.43,1286.67,1249.8,Middle1
575,Ashburn,Single Family,96481,11884,9648.1,1212.5,1188.4,Middle2
579,Ashburn,Single Family,82525,13111,9169.44,1282.73,1191.91,Middle2
581,Ashburn,Single Family,65589,12980,6558.9,1264.45,1180,Middle2
582,Ashburn,Single Family,111882,12980,10171.09,1380.09,1180,Middle2
584,Ashburn,Single Family,119116,18539,7941.07,1276.67,1235.93,Middle2
585,Ashburn,Single Family,87449,15337,6726.85,1212.69,1179.77,Middle2
587,Ashburn,Single Family,135680,13566,13568,1314.58,1130.5,Middle2
599,Ashburn,Single Family,170969,9870,18996.56,1642.33,1096.67,Middle2
602,Ashburn,Single Family,107045,11742,9731.36,1176.18,1067.45,Middle2
605,Ashburn,Single Family,60589,6872,10098.17,1307.83,1145.33,Middle2
606,Ashburn,Single Family,153846,17077,10256.4,1277.79,1219.79,Middle2
616,Ashburn,Single Family,58957,12463,6550.78,1095.82,1133,Middle2
617,Ashburn,Single Family,83095,10212,8309.5,1203.33,1134.67,Middle2
620,Ashburn,Single Family,189439,26576,9471.95,1241.53,1398.74,Middle2
628,Ashburn,Single Family,161995,18406,10124.69,1309,1150.38,Middle2
634,Ashburn,Single Family,168562,15269,12040.14,1542.93,1090.64,Middle2
636,Ashburn,Single Family,122623,16046,8174.87,1094.13,1069.73,Middle2
645,Ashburn,Single Family,137468,15251,9819.14,1223.6,1016.73,Middle2
648,Ashburn,Single Family,139900,15446,9326.67,1195.5,965.38,Middle2
649,Ashburn,Single Family,135075,14978,9648.21,1196.71,1069.86,Middle1
651,Ashburn,Single Family,135530,20672,9035.33,1227.39,1148.44,Middle2
662,Ashburn,Single Family,138917,21470,7717.61,1157.11,1130,Middle2
664,Ashburn,Single Family,140634,16611,8789.63,1247.27,1107.4,Middle2
671,Ashburn,Single Family,125001,15596,8333.4,1244,1114,Middle2
677,Ashburn,Single Family,177603,19476,9866.83,1115.33,1082,Middle2
679,Ashburn,Single Family,97420,14379,8118.33,1152.54,1106.08,Middle2
680,Ashburn,Single Family,68518,7790,9788.29,1230.71,1112.86,Middle2
682,Ashburn,Single Family,142225,20275,8889.06,1342.56,1267.19,Middle2
687,Ashburn,Single Family,128533,18736,9180.93,1423.56,1171,Middle2
692,Ashburn,Single Family,146868,18640,9791.2,1426.53,1242.67,Middle2
694,Ashburn,Single Family,195885,19342,11522.65,1433.41,1137.76,Middle2
704,Ashburn,Single Family,56963,4506,14240.75,1361,1126.5,Middle2
706,Ashburn,Single Family,132674,14690,11056.17,1400.75,1224.17,Middle2
709,Ashburn,Single Family,60778,14327,6077.8,1107.08,1102.08,Middle2
711,Ashburn,Single Family,97921,11463,9792.1,1225.7,1146.3,Middle1
712,Ashburn,Single Family,123202,13699,9477.08,1265.17,1141.58,Middle2
716,Ashburn,Single Family,102790,17058,7342.14,1252.27,1137.2,Middle2
723,Ashburn,Commercial,3733,2065,1866.5,1271,1032.5,Middle2
726,Ashburn,Single Family,103849,14081,7988.38,1207,1173.42,Middle1
728,Ashburn,Single Family,101926,13279,8493.83,1123.08,1106.58,Middle2
729,Ashburn,Single Family,83127,14153,7557,1144.17,1179.42,Middle2
736,Ashburn,Single Family,115569,10604,8889.92,1219.91,964,Middle2
743,Ashburn,Single Family,128669,15605,8577.93,1099.06,917.94,Middle2
744,Ashburn,Single Family,110174,17140,8474.92,1182.73,1142.67,Middle2
748,Ashburn,Single Family,143578,14989,11044.46,1292.83,1249.08,Middle2
752,Ashburn,Single Family,114280,15129,9523.33,1376.85,1163.77,Middle2
753,Ashburn,Single Family,118480,14589,9113.85,1296.85,1122.23,Middle1
757,Ashburn,Single Family,120495,17741,9268.85,1194.21,1267.21,Middle2
762,Ashburn,Single Family,95216,12661,10579.56,1217.27,1151,Middle2
764,Ashburn,Single Family,106515,16182,7608.21,1280.21,1155.86,Middle2
768,Ashburn,Single Family,77031,15304,7703.1,1376.77,1177.23,Middle2
771,Ashburn,Single Family,90287,10339,10031.89,1459.33,1148.78,Middle2
773,Ashburn,Single Family,112371,14096,8643.92,1360.77,1084.31,Middle2
775,Ashburn,Single Family,91145,13379,9114.5,1381.45,1216.27,Middle2
783,Ashburn,Single Family,159137,21229,9361,1327.71,1248.76,Middle2
787,Ashburn,Single Family,166345,19125,10396.56,1269.13,1195.31,Middle2
789,Ashburn,Single Family,152022,18493,10134.8,1574.67,1232.87,Middle2
795,Ashburn,Single Family,177705,23313,8885.25,1202.75,1165.65,Middle2
797,Ashburn,Single Family,115679,12956,10516.27,1268.55,1177.82,Middle2
800,Ashburn,Single Family,166830,14240,12833.08,1327.67,1186.67,Middle1
801,Ashburn,Single Family,120120,15965,10010,1465.85,1228.08,Middle1
803,Ashburn,Single Family,94790,14034,7291.54,1281.25,1169.5,Middle1
804,Ashburn,Single Family,117286,13964,9773.83,1276.25,1163.67,Middle1
805,Ashburn,Single Family,188012,30028,7520.48,1242.48,1112.15,Middle1
812,Ashburn,Single Family,160385,19584,9434.41,1432.35,1152,Middle1
822,Ashburn,Single Family,169283,20424,9957.82,1556.47,1201.41,Middle2
823,Ashburn,Single Family,119472,17317,7964.8,1421.13,1154.47,Middle2
826,Ashburn,Single Family,102204,10900,9291.27,1330.56,1211.11,Middle2
831,Ashburn,Single Family,125267,22603,7368.65,1270.32,1189.63,Middle2
835,Ashburn,Single Family,141013,21406,8813.31,1337.22,1189.22,Middle2
837,Ashburn,Single Family,157678,22438,9275.18,1348.53,1319.88,Middle2
843,Ashburn,Single Family,119767,17768,7045.12,1099.75,1110.5,Middle2
844,Ashburn,Single Family,99702,14439,8308.5,1317.08,1110.69,Middle2
851,Ashburn,Single Family,113612,13504,8739.38,1287.17,1125.33,Middle2
856,Ashburn,Single Family,177789,16780,9877.17,1308,987.06,Middle2
860,Ashburn,Single Family,146721,21643,8630.65,1078.39,1202.39,Middle2
864,Ashburn,Single Family,135039,16230,10387.62,1231.14,1159.29,Middle2
867,Ashburn,Single Family,37460,6081,7492,1229.2,1216.2,Middle1
871,Ashburn,Single Family,45906,5306,11476.5,1579.5,1326.5,Middle1
884,Ashburn,Single Family,147072,15784,9804.8,1199.13,1052.27,Middle2
886,Ashburn,Single Family,168185,19804,9893.24,1377.88,1164.94,Middle2
887,Ashburn,Single Family,148980,20208,8276.67,1206.33,1122.67,Middle2
892,Ashburn,Single Family,130426,19352,8151.63,1264,1138.35,Middle2
898,Ashburn,Single Family,90020,10484,8183.64,1153,953.09,Middle2
905,Ashburn,Single Family,45575,9112,7595.83,1056.13,1139,Middle1
906,Ashburn,Single Family,34865,6098,11621.67,1169.8,1219.6,Middle1
909,Ashburn,Single Family,170745,19244,10671.56,1477.25,1202.75,Middle1
918,Ashburn,Single Family,87890,8263,12555.71,1372.29,1180.43,Middle2
927,Ashburn,Single Family,195851,22413,11520.65,1299.28,1245.17,Middle2
930,Ashburn,Single Family,151874,18714,10848.14,1430.5,1336.71,Middle2
935,Ashburn,Single Family,156274,19170,8681.89,1219,1127.65,Middle2
939,Ashburn,Single Family,171738,21622,9541,1238.06,1201.22,Middle2
949,Ashburn,Single Family,147345,14615,11334.23,1300.42,1217.92,Middle1
950,Ashburn,Single Family,158240,18125,9890,1643.43,1294.64,Middle1
954,Ashburn,Single Family,120127,15715,9240.54,1060.92,1208.85,Middle1
957,Auburn Gresham,Single Family,13039,2252,6519.5,1531,1126,Middle3
962,Auburn Gresham,Single Family,94619,8081,11827.38,2061.5,1010.13,Middle3
966,Auburn Gresham,Single Family,138899,17186,10684.54,1822.64,1227.57,Middle3
968,Auburn Gresham,Single Family,129284,13560,10773.67,1792.09,1232.73,Middle3
969,Auburn Gresham,Single Family,117861,15709,9066.23,1568.54,1208.38,Middle3
971,Auburn Gresham,Single Family,164638,17709,11759.86,1773.5,1264.93,Middle3
976,Auburn Gresham,Single Family,96917,15082,7455.15,1895.54,1160.15,Middle3
980,Auburn Gresham,Single Family,69811,8720,9973,1791,1245.71,Middle3
981,Auburn Gresham,Single Family,91573,13304,8324.82,1831,1209.45,Middle3
983,Auburn Gresham,Single Family,103627,12914,10362.7,1529.4,1291.4,Middle3
987,Auburn Gresham,Single Family,100197,10586,11133,1704.33,1176.22,Middle3
988,Auburn Gresham,Single Family,95466,8847,11933.25,1513.57,1263.86,Middle3
989,Auburn Gresham,Single Family,154039,15946,11849.15,1940.92,1226.62,Middle3
990,Auburn Gresham,Single Family,194128,20832,9706.4,1628.71,1225.41,Middle3
991,Auburn Gresham,Single Family,151726,15080,10837.57,1647.92,1160,Middle3
993,Auburn Gresham,Single Family,137560,21624,8091.76,1515.33,1201.33,Middle3
1003,Auburn Gresham,Single Family,143811,10168,15979,1834.33,1129.78,Middle2
1016,Auburn Gresham,Single Family,109008,12707,8385.23,1464.09,1155.18,Middle3
1026,Auburn Gresham,Single Family,167185,21526,8799.21,1521.37,1132.95,Middle2
1033,Auburn Gresham,Single Family,147402,23474,7758,1617.89,1304.11,Middle3
1035,Auburn Gresham,Single Family,68662,8658,8582.75,1455.88,1082.25,Middle3
1039,Auburn Gresham,Single Family,91734,13646,6552.43,1297.15,1049.69,Middle3
1043,Auburn Gresham,Single Family,152340,19411,8463.33,1501.29,1141.82,Middle3
1050,Auburn Gresham,Commercial,12324,2239,6162,1004,1119.5,Middle2
1054,Auburn Gresham,Single Family,150495,13475,10749.64,1538.73,1225,Middle3
1068,Auburn Gresham,Single Family,20490,3898,10245,1268.33,1299.33,Middle2
1070,Auburn Gresham,Single Family,108452,14020,9859.27,1759.73,1274.55,Middle3
1079,Auburn Gresham,Single Family,168711,17713,9924.18,1346.69,1107.06,Middle2
1080,Auburn Gresham,Single Family,112024,14534,9335.33,1309.54,1118,Middle2
1099,Auburn Gresham,Single Family,157656,19745,9853.5,1905.69,1234.06,Middle3
1101,Auburn Gresham,Single Family,50000,6240,10000,1680.4,1248,Middle3
1105,Auburn Gresham,Single Family,62203,5955,12440.6,1439.8,1191,Middle3
1106,Auburn Gresham,Single Family,69422,10795,8677.75,1640.5,1349.38,Middle3
1117,Auburn Gresham,Single Family,48649,9740,6949.86,1562.63,1217.5,Middle3
1119,Auburn Gresham,Single Family,138652,20225,9903.71,1729.33,1348.33,Middle3
1123,Auburn Gresham,Single Family,55258,6418,11051.6,1427.4,1283.6,Middle3
1138,Auburn Gresham,Single Family,140122,16776,11676.83,2027.83,1398,Middle3
1139,Auburn Gresham,Single Family,91731,14776,8339.18,1836.64,1343.27,Middle3
1152,Auburn Gresham,Single Family,36182,3719,9045.5,1952.33,1239.67,Middle3
1155,Auburn Gresham,Single Family,103463,9070,10346.3,2046.33,1007.78,Middle3
1156,Auburn Gresham,Single Family,47323,6065,7887.17,1961.83,1010.83,Middle3
1159,Auburn Gresham,Single Family,47107,4875,9421.4,1946.25,1218.75,Middle3
1166,Auburn Gresham,Single Family,81829,13044,9092.11,1539.6,1304.4,Middle3
1171,Auburn Gresham,Multi < 7,14906,2550,7453,2187,1275,Ancient
1175,Auburn Gresham,Single Family,13650,2059,6825,1349.5,1029.5,Middle2
1177,Auburn Gresham,Single Family,27829,3730,6957.25,1649,1243.33,Ancient
1182,Auburn Gresham,Single Family,101083,11641,10108.3,1911.82,1058.27,Middle3
1193,Auburn Gresham,Single Family,180062,21626,9476.95,1500.26,1138.21,Middle3
1195,Auburn Gresham,Single Family,55893,15905,5081.18,1382.92,1223.46,Middle3
1199,Auburn Gresham,Single Family,117470,14605,10679.09,1706,1217.08,Middle3
1200,Auburn Gresham,Single Family,173093,22158,9616.28,1689.33,1231,Middle3
1202,Auburn Gresham,Single Family,100736,17030,7748.92,1726.08,1310,Middle3
1203,Auburn Gresham,Single Family,125134,16463,7360.82,1449,1266.38,Middle3
1204,Auburn Gresham,Single Family,147173,17943,10512.36,1721.73,1196.2,Middle3
1216,Auburn Gresham,Single Family,88290,10809,8829,1633.5,1080.9,Middle3
1217,Auburn Gresham,Single Family,115903,12619,9658.58,1780,1261.9,Middle3
1225,Auburn Gresham,Single Family,59826,7383,7478.25,2025.57,1054.71,Middle3
1232,Auburn Gresham,Single Family,19015,3835,4753.75,1628.33,1278.33,Middle3
1234,Auburn Gresham,Single Family,122098,12300,8721.29,1621.92,1025,Middle3
1239,Auburn Gresham,Single Family,75653,15524,6304.42,1379.92,1194.15,Middle3
1240,Auburn Gresham,Single Family,84341,14089,9371.22,1758.73,1280.82,Middle3
1241,Auburn Gresham,Single Family,79513,8775,11359,1354.14,1253.57,Middle3
1242,Auburn Gresham,Single Family,126744,13096,11522.18,1510.75,1091.33,Middle3
1245,Auburn Gresham,Single Family,32960,8283,4708.57,1478.5,1035.38,Middle3
1247,Auburn Gresham,Single Family,92141,11611,11517.63,1363.1,1161.1,Middle3
1248,Auburn Gresham,Single Family,80084,11527,8008.4,1648.11,1280.78,Middle3
1252,Auburn Gresham,Single Family,147491,18177,9218.19,1703.33,1211.8,Middle3
1262,Auburn Gresham,Commercial,13315,2428,6657.5,1067,1214,Middle2
1269,Auburn Gresham,Single Family,97135,10843,8830.45,1591.1,1084.3,Middle2
1270,Auburn Gresham,Single Family,82742,11252,8274.2,1586.2,1125.2,Middle3
1275,Auburn Gresham,Single Family,93941,14036,8540.09,1909,1276,Middle3
1277,Auburn Gresham,Single Family,72912,9714,8101.33,1935.63,1214.25,Middle3
1279,Auburn Gresham,Single Family,126978,9886,14108.67,1478.25,1235.75,Middle2
1282,Auburn Gresham,Single Family,86571,10011,12367.29,1634.88,1251.38,Middle3
1288,Auburn Gresham,Single Family,98207,10387,10911.89,1627.67,1154.11,Middle3
1304,Auburn Gresham,Single Family,126225,13358,12622.5,1587.27,1214.36,Middle2
1308,Auburn Gresham,Single Family,158633,18370,10575.53,1851.8,1224.67,Middle2
1313,Auburn Gresham,Single Family,30862,6131,7715.5,1444,1226.2,Middle3
1317,Auburn Gresham,Single Family,50280,6075,10056,1524,1215,Middle2
1319,Auburn Gresham,Single Family,84127,15309,6471.31,1544.75,1275.75,Middle3
1321,Auburn Gresham,Single Family,91858,11904,9185.8,1587.67,1322.67,Middle2
1322,Auburn Gresham,Single Family,74251,11812,7425.1,1598.33,1312.44,Middle3
1326,Auburn Gresham,Single Family,133278,20845,7839.88,1669.47,1389.67,Middle2
1327,Auburn Gresham,Single Family,135883,18459,9705.93,1510.67,1230.6,Middle2
1329,Auburn Gresham,Single Family,170802,20203,10675.13,1528.13,1346.87,Middle2
1334,Auburn Gresham,Single Family,116147,12519,8934.38,1391.73,1138.09,Middle2
1335,Auburn Gresham,Single Family,97648,14356,8877.09,1162.46,1104.31,Middle2
1336,Auburn Gresham,Single Family,110537,14229,10048.82,1611.42,1185.75,Middle2
1344,Auburn Gresham,Single Family,131648,16543,10126.77,1465.58,1378.58,Middle2
1351,Auburn Gresham,Single Family,55516,9017,6939.5,1182.88,1127.13,Middle2
1356,Auburn Gresham,Single Family,171554,20540,9029.16,1412,1081.05,Middle2
1367,Auburn Gresham,Single Family,174500,21465,8725,1256.4,1073.25,Middle2
1375,Auburn Gresham,Single Family,110753,13316,7910.93,1077.46,1024.31,Middle2
1377,Auburn Gresham,Single Family,125496,14116,8964,1108.85,1085.85,Middle2
1378,Auburn Gresham,Single Family,143973,18069,8998.31,1280.31,1129.31,Middle2
1384,Auburn Gresham,Single Family,25402,3095,8467.33,1038.67,1031.67,Middle3
1386,Auburn Gresham,Single Family,133070,12754,12097.27,1162.55,1159.45,Middle2
1392,Auburn Gresham,Single Family,86596,12193,8659.6,1695.1,1219.3,Middle3
1401,Auburn Gresham,Single Family,98675,17336,7590.38,1399.71,1238.29,Middle2
1407,Auburn Gresham,Single Family,52386,10674,6548.25,1332.89,1186,Middle2
1410,Auburn Gresham,Single Family,97689,6211,9768.9,1787.33,1035.17,Middle3
1411,Auburn Gresham,Single Family,73940,10042,8215.56,1347.38,1255.25,Middle2
1419,Auburn Gresham,Single Family,89843,13984,8167.55,1364.33,1165.33,Middle2
1421,Auburn Gresham,Single Family,110836,16623,8525.85,1769.15,1278.69,Middle3
1423,Auburn Gresham,Single Family,130292,15589,10022.46,1758.54,1199.15,Middle3
1424,Auburn Gresham,Single Family,99810,14912,8317.5,2011.33,1242.67,Middle3
1427,Auburn Gresham,Single Family,79584,9736,11369.14,1686.38,1217,Middle3
1431,Auburn Gresham,Single Family,41519,9353,5931.29,1412.75,1169.13,Middle3
1432,Auburn Gresham,Single Family,125287,16308,11389.73,1615.13,1087.2,Middle3
1435,Auburn Gresham,Single Family,135265,16113,10405,1726.77,1239.46,Middle3
1436,Auburn Gresham,Single Family,95877,15029,7375.15,1980.46,1156.08,Middle3
1441,Auburn Gresham,Single Family,46234,5931,6604.86,1319,1186.2,Middle3
1442,Auburn Gresham,Single Family,76221,8484,12703.5,1906.14,1212,Middle3
1443,Auburn Gresham,Single Family,54004,8874,6750.5,1693,1267.71,Middle3
1449,Auburn Gresham,Single Family,86625,11988,7875,1576.91,1198.8,Middle3
1451,Auburn Gresham,Single Family,72945,12774,8105,1545.27,1161.27,Middle3
1457,Auburn Gresham,Single Family,53144,6767,8857.33,1142.67,1127.83,Middle3
1458,Auburn Gresham,Single Family,41990,6159,8398,1752.8,1231.8,Middle3
1462,Auburn Gresham,Single Family,45308,7060,9061.6,1758.5,1176.67,Middle3
1464,Auburn Gresham,Single Family,51932,7902,7418.86,2127,1128.86,Middle3
1466,Auburn Gresham,Single Family,124884,8968,15610.5,1822.5,1281.14,Middle3
1470,Auburn Gresham,Single Family,72916,14190,6076.33,1393.92,1182.5,Middle3
1474,Auburn Gresham,Single Family,51792,5450,6474,1424.83,908.33,Middle3
1499,Auburn Gresham,Single Family,81736,9535,9081.78,1696,1059.44,Middle1
1500,Auburn Gresham,Single Family,28779,5732,7194.75,1216,955.33,Middle3
1507,Auburn Gresham,Single Family,46262,8083,7710.33,1417.5,1347.17,Middle3
1511,Auburn Gresham,Single Family,24110,4959,6027.5,1520,1239.75,Middle2
1523,Auburn Gresham,Single Family,82190,11033,7471.82,1449.7,1103.3,Middle3
1528,Auburn Gresham,Single Family,136024,18106,8501.5,1412.76,1065.06,Middle3
